fecha,solidos_a2,malla_a2
2023-10-28 08:33:14,40.0,30.0
2023-10-28 06:01:36,41.0,30.0
2023-10-28 04:45:07,42.0,31.0
2023-10-28 02:41:12,40.0,29.0
2023-10-28 00:04:16,39.0,28.0
2023-10-27 21:55:02,40.0,30.0
2023-10-27 19:47:20,41.0,29.0
2023-10-27 16:51:40,41.0,31.0
2023-10-27 13:07:13,44.0,32.0
2023-10-27 12:23:18,43.0,31.0
2023-10-27 10:45:34,36.0,24.0
2023-10-27 07:56:46,42.0,31.0
2023-10-27 07:55:18,42.0,31.0
2023-10-27 04:26:26,44.0,30.0
2023-10-27 01:55:05,44.0,32.0
2023-10-27 00:16:01,43.0,33.0
2023-10-26 22:17:22,43.0,32.0
2023-10-26 20:06:32,39.0,28.0
2023-10-26 18:02:21,45.0,23.0
2023-10-26 16:58:08,45.0,32.0
2023-10-26 15:25:32,41.0,26.0
2023-10-26 12:30:38,42.0,28.0
2023-10-26 09:06:23,39.0,29.0
2023-10-26 07:48:56,38.0,27.0
2023-10-26 06:16:20,41.0,31.0
2023-10-26 04:13:37,39.0,29.0
2023-10-26 01:56:15,42.0,31.0
2023-10-26 00:00:14,38.0,30.0
2023-10-25 22:26:26,39.0,27.0
2023-10-25 20:26:05,44.0,32.0
2023-10-25 18:32:29,43.0,33.0
2023-10-25 17:34:03,45.0,33.0
2023-10-25 09:34:02,42.0,31.0
2023-10-25 08:26:58,42.0,32.0
2023-10-25 06:00:43,42.0,29.0
2023-10-25 04:16:45,43.0,30.0
2023-10-25 02:14:19,43.0,33.0
2023-10-25 02:13:28,43.0,33.0
2023-10-24 23:54:14,41.0,30.0
2023-10-24 22:02:08,43.0,33.0
2023-10-24 20:04:20,37.0,27.0
2023-10-24 18:10:00,37.0,29.0
2023-10-24 16:51:27,37.0,31.0
2023-10-24 15:25:11,38.0,31.0
2023-10-24 14:05:55,39.0,30.0
2023-10-24 11:52:35,38.0,25.0
2023-10-24 09:06:26,43.0,32.0
2023-10-24 07:57:31,44.0,33.0
2023-10-24 06:12:34,43.0,30.0
2023-10-24 04:08:43,43.0,30.0
2023-10-24 03:18:27,44.0,32.0
2023-10-24 02:06:04,43.0,30.0
2023-10-23 23:53:23,43.0,29.0
2023-10-23 19:39:51,42.0,30.0
2023-10-23 17:03:05,43.0,29.0
2023-10-23 15:08:00,41.0,27.0
2023-10-23 14:06:24,41.0,25.0
2023-10-23 11:59:43,36.0,22.0
2023-10-23 11:00:40,37.0,23.0
2023-10-23 09:55:21,44.0,28.0
2023-10-23 08:49:27,47.0,33.0
2023-10-23 06:06:33,42.0,27.0
2023-10-23 04:13:17,43.0,29.0
2023-10-23 00:11:22,40.0,27.0
2023-10-22 22:00:30,42.0,28.0
2023-10-22 20:10:30,36.0,26.0
2023-10-22 18:10:19,41.0,32.0
2023-10-22 16:42:08,47.0,33.0
2023-10-22 15:25:52,47.0,33.0
2023-10-22 13:37:07,45.0,30.0
2023-10-22 12:12:48,44.0,31.0
2023-10-22 10:50:22,43.0,32.0
2023-10-22 08:57:39,44.0,33.0
2023-10-22 06:28:42,43.0,30.0
2023-10-22 03:59:40,42.0,29.0
2023-10-22 02:11:56,42.0,30.0
2023-10-21 23:50:27,41.0,29.0
2023-10-21 22:01:03,42.0,28.0
2023-10-21 19:52:02,42.0,28.0
2023-10-21 17:15:51,36.0,26.0
2023-10-21 16:18:02,38.0,26.0
2023-10-21 14:22:40,38.0,26.0
2023-10-21 13:30:36,42.0,28.0
2023-10-21 12:03:08,40.0,28.0
2023-10-21 09:05:21,41.0,28.0
2023-10-21 07:56:31,41.0,27.0
2023-10-21 06:10:30,41.0,27.0
2023-10-21 04:16:28,41.0,28.0
2023-10-21 02:15:33,40.0,25.0
2023-10-21 00:00:22,40.0,27.0
2023-10-20 22:13:02,41.0,28.0
2023-10-20 20:12:41,40.0,27.0
2023-10-20 18:01:36,41.0,28.0
2023-10-20 17:06:45,41.0,27.0
2023-10-20 14:27:37,44.0,33.0
2023-10-20 09:54:44,43.0,33.0
2023-10-20 07:54:20,42.0,29.0
2023-10-20 06:04:20,40.0,27.0
2023-10-20 04:05:27,42.0,26.0
2023-10-19 21:59:57,41.0,27.0
2023-10-19 20:20:33,42.0,27.0
2023-10-19 18:11:26,42.0,28.0
2023-10-19 15:24:26,43.0,29.0
2023-10-19 14:03:50,42.0,29.0
2023-10-19 13:13:21,41.0,30.0
2023-10-19 12:17:15,43.0,28.0
2023-10-19 08:07:05,41.0,30.0
2023-10-19 06:07:57,42.0,26.0
2023-10-19 02:08:03,39.0,27.0
2023-10-18 23:56:01,41.0,28.0
2023-10-18 22:13:10,35.0,25.0
2023-10-18 20:08:39,39.0,26.0
2023-10-18 18:02:30,39.0,29.0
2023-10-18 15:24:07,37.0,29.0
2023-10-18 12:59:45,42.0,29.0
2023-10-18 11:10:30,39.0,29.0
2023-10-18 08:13:17,39.0,30.0
2023-10-18 05:50:39,42.0,32.0
2023-10-18 04:30:01,41.0,31.0
2023-10-18 01:45:38,39.0,29.0
2023-10-18 00:45:15,38.0,28.0
2023-10-17 22:21:15,38.0,29.0
2023-10-17 21:36:42,38.0,33.0
2023-10-17 20:19:20,38.0,33.0
2023-10-17 17:38:27,39.0,30.0
2023-10-17 15:06:10,40.0,30.0
2023-10-17 12:32:08,35.0,26.0
2023-10-17 11:02:09,38.0,26.0
2023-10-17 09:06:19,44.0,33.0
2023-10-17 08:11:41,43.0,32.0
2023-10-17 06:21:47,43.0,32.0
2023-10-17 04:02:00,43.0,31.0
2023-10-17 02:10:55,40.0,28.0
2023-10-16 23:53:49,45.0,31.0
2023-10-16 21:07:45,41.0,30.0
2023-10-16 20:16:31,42.0,29.0
2023-10-16 17:57:15,41.0,29.0
2023-10-16 16:15:57,43.0,31.0
2023-10-16 12:56:20,45.0,33.0
2023-10-16 10:58:27,40.0,29.0
2023-10-16 07:48:34,43.0,32.0
2023-10-16 02:49:33,42.0,30.0
2023-10-16 01:02:53,44.0,32.0
2023-10-15 22:11:19,43.0,31.0
2023-10-15 18:28:03,43.0,33.0
2023-10-15 16:06:43,44.0,32.0
2023-10-15 13:41:13,44.0,33.0
2023-10-15 12:04:21,42.0,33.0
2023-10-15 10:00:17,42.0,31.0
2023-10-15 07:48:56,43.0,32.0
2023-10-14 17:20:57,46.0,34.0
2023-10-14 17:11:41,46.0,34.0
2023-10-14 16:36:12,43.0,33.0
2023-10-14 11:10:16,43.0,30.0
2023-10-14 09:31:35,43.0,31.0
2023-10-14 07:27:08,42.0,29.0
2023-10-14 04:38:58,43.0,31.0
2023-10-14 03:53:11,41.0,31.0
2023-10-14 00:13:27,41.0,31.0
2023-10-13 21:20:58,42.0,30.0
2023-10-13 18:23:57,45.0,33.0
2023-10-13 17:17:37,47.0,35.0
2023-10-13 13:51:07,40.0,29.0
2023-10-13 12:23:47,43.0,32.0
2023-10-13 10:11:37,42.0,27.0
2023-10-13 07:54:21,45.0,33.0
2023-10-13 06:22:04,43.0,32.0
2023-10-13 05:44:51,44.0,32.0
2023-10-13 04:29:05,43.0,31.0
2023-10-13 04:02:42,47.0,34.0
2023-10-13 02:59:54,44.0,32.0
2023-10-13 00:34:38,42.0,31.0
2023-10-12 23:14:13,44.0,31.0
2023-10-12 21:37:34,45.0,32.0
2023-10-12 20:04:15,45.0,31.0
2023-10-12 14:55:53,31.0,27.0
2023-10-12 12:10:25,35.0,27.0
2023-10-12 10:15:02,37.0,25.0
2023-10-12 08:12:13,43.0,31.0
2023-10-12 06:25:30,43.0,33.0
2023-10-12 05:36:37,43.0,31.0
2023-10-12 04:56:46,47.0,35.0
2023-10-12 04:00:37,47.0,34.0
2023-10-11 23:57:57,47.0,34.0
2023-10-11 22:46:06,39.0,28.0
2023-10-11 18:04:16,44.0,34.0
2023-10-11 17:39:57,45.0,33.0
2023-10-11 14:51:56,43.0,31.0
2023-10-11 08:00:21,42.0,31.0
2023-10-11 05:01:31,39.0,28.0
2023-10-11 02:23:31,43.0,32.0
2023-10-10 23:48:44,42.0,33.0
2023-10-10 22:08:35,42.0,31.0
2023-10-10 20:28:13,42.0,32.0
2023-10-10 18:08:05,42.0,26.0
