Timestamp,AREA,PROCESO,% SOLIDOS,MALLA 65#,COMENTARIOS,USUARIO,Timestamp
2023-01-05 11:56:00,A2,-,37.0,28,,José Ledesma Espinoza,2023-01-05 11:56:00
2023-01-05 12:30:00,A1,-,41.0,30,,José Ledesma Espinoza,2023-01-05 12:30:00
2023-01-05 14:07:00,A2,-,38.0,27,,José Ledesma Espinoza,2023-01-05 14:07:00
2023-01-05 16:11:00,A1,-,42.0,30,,José Ledesma Espinoza,2023-01-05 16:11:00
2023-01-05 16:35:00,A2,-,35.0,23,,José Ledesma Espinoza,2023-01-05 16:35:00
2023-01-05 17:19:00,A1,-,42.0,30,,José Ledesma Espinoza,2023-01-05 17:19:00
2023-01-05 17:32:00,A2,-,40.0,34,,José Ledesma Espinoza,2023-01-05 17:32:00
2023-01-05 18:44:00,A0,-,39.0,28,,José Ledesma Espinoza,2023-01-05 18:44:00
2023-01-05 19:59:00,A2,-,35.0,30,,Lorne Ortiz,2023-01-05 19:59:00
2023-01-05 20:32:00,A0,-,48.0,33,,Lorne Ortiz,2023-01-05 20:32:00
2023-01-05 22:55:00,A1,-,41.0,30,,Lorne Ortiz,2023-01-05 22:55:00
2023-01-05 23:52:00,A0,-,45.0,32,,Lorne Ortiz,2023-01-05 23:52:00
2023-01-05 23:57:00,A2,-,43.0,34,,Lorne Ortiz,2023-01-05 23:57:00
2023-01-06 00:22:00,A1,-,42.0,31,,Lorne Ortiz,2023-01-06 00:22:00
2023-01-06 01:14:00,A2,-,38.0,27,,Lorne Ortiz,2023-01-06 01:14:00
2023-01-06 05:14:00,A2,-,38.0,31,,Lorne Ortiz,2023-01-06 05:14:00
2023-01-06 06:19:00,A0,-,41.0,30,,Lorne Ortiz,2023-01-06 06:19:00
2023-01-06 08:02:00,A1,-,41.0,24,,José Ledesma Espinoza,2023-01-06 08:02:00
2023-01-06 08:29:00,A0,-,40.0,26,,José Ledesma Espinoza,2023-01-06 08:29:00
2023-01-06 09:12:00,A2,-,43.0,29,,José Ledesma Espinoza,2023-01-06 09:12:00
2023-01-06 09:14:00,A0,-,39.0,27,,José Ledesma Espinoza,2023-01-06 09:14:00
2023-01-06 10:08:00,A2,-,44.0,33,,José Ledesma Espinoza,2023-01-06 10:08:00
2023-01-06 10:51:00,A1,-,47.0,40,,José Ledesma Espinoza,2023-01-06 10:51:00
2023-01-06 11:57:00,A1,-,41.0,30,,José Ledesma Espinoza,2023-01-06 11:57:00
2023-01-06 12:01:00,A2,-,39.0,29,,José Ledesma Espinoza,2023-01-06 12:01:00
2023-01-06 12:50:00,A0,-,38.0,26,,José Ledesma Espinoza,2023-01-06 12:50:00
2023-01-06 12:54:00,A1,-,40.0,27,,José Ledesma Espinoza,2023-01-06 12:54:00
2023-01-06 14:19:00,A2,-,40.0,31,,José Ledesma Espinoza,2023-01-06 14:19:00
2023-01-06 14:55:00,A1,-,41.0,31,,José Ledesma Espinoza,2023-01-06 14:55:00
2023-01-06 16:08:00,A2,-,45.0,33,,José Ledesma Espinoza,2023-01-06 16:08:00
2023-01-06 17:31:00,A1,-,39.0,23,16:05 hrs.,José Ledesma Espinoza,2023-01-06 17:31:00
2023-01-06 18:03:00,A1,-,41.0,30,,José Ledesma Espinoza,2023-01-06 18:03:00
2023-01-06 18:05:00,A0,-,26.0,15,,José Ledesma Espinoza,2023-01-06 18:05:00
2023-01-06 18:08:00,A2,-,41.0,30,,José Ledesma Espinoza,2023-01-06 18:08:00
2023-01-06 19:32:00,A2,-,42.0,29,,Lorne Ortiz,2023-01-06 19:32:00
2023-01-06 19:57:00,A1,-,44.0,32,,Lorne Ortiz,2023-01-06 19:57:00
2023-01-06 20:30:00,A0,-,43.0,32,,Lorne Ortiz,2023-01-06 20:30:00
2023-01-06 21:57:00,A1,-,40.0,30,,Lorne Ortiz,2023-01-06 21:57:00
2023-01-06 23:06:00,A1,-,45.0,33,,Lorne Ortiz,2023-01-06 23:06:00
2023-01-06 23:33:00,A2,-,41.0,33,,Lorne Ortiz,2023-01-06 23:33:00
2023-01-07 00:09:00,A0,-,49.0,33,,Lorne Ortiz,2023-01-07 00:09:00
2023-01-07 00:33:00,BM19,-,44.0,34,,Lorne Ortiz,2023-01-07 00:33:00
2023-01-07 00:45:00,A0,-,43.0,31,,Lorne Ortiz,2023-01-07 00:45:00
2023-01-07 00:55:00,A1,-,39.0,28,,Lorne Ortiz,2023-01-07 00:55:00
2023-01-07 01:22:00,A2,-,39.0,30,,Lorne Ortiz,2023-01-07 01:22:00
2023-01-07 07:53:00,A2,-,43.0,36,,José Ledesma Espinoza,2023-01-07 07:53:00
2023-01-07 08:02:00,A1,-,40.0,21,,José Ledesma Espinoza,2023-01-07 08:02:00
2023-01-07 08:30:00,A0,-,41.0,33,,José Ledesma Espinoza,2023-01-07 08:30:00
2023-01-07 08:45:00,A2,-,37.0,28,,José Ledesma Espinoza,2023-01-07 08:45:00
2023-01-07 10:43:00,A1,-,37.0,18,,José Ledesma Espinoza,2023-01-07 10:43:00
2023-01-07 12:00:00,A0,-,44.0,38,,José Ledesma Espinoza,2023-01-07 12:00:00
2023-01-07 12:01:00,A1,-,40.0,22,,José Ledesma Espinoza,2023-01-07 12:01:00
2023-01-07 12:04:00,A2,-,39.0,29,,José Ledesma Espinoza,2023-01-07 12:04:00
2023-01-07 13:57:00,A2,-,44.0,33,,José Ledesma Espinoza,2023-01-07 13:57:00
2023-01-07 14:11:00,A0,-,37.0,26,,José Ledesma Espinoza,2023-01-07 14:11:00
2023-01-07 14:17:00,A1,-,44.0,32,,José Ledesma Espinoza,2023-01-07 14:17:00
2023-01-07 14:50:00,A2,-,46.0,34,,José Ledesma Espinoza,2023-01-07 14:50:00
2023-01-07 15:42:00,A0,-,39.0,26,,José Ledesma Espinoza,2023-01-07 15:42:00
2023-01-07 17:08:00,A1,-,43.0,30,,José Ledesma Espinoza,2023-01-07 17:08:00
2023-01-07 18:04:00,A2,-,36.0,26,,José Ledesma Espinoza,2023-01-07 18:04:00
2023-01-07 19:27:00,A1,-,45.0,33,,Lorne Ortiz,2023-01-07 19:27:00
2023-01-07 20:35:00,A1,-,40.0,28,,Lorne Ortiz,2023-01-07 20:35:00
2023-01-07 22:25:00,A2,-,39.0,35,,Lorne Ortiz,2023-01-07 22:25:00
2023-01-07 22:56:00,A1,-,42.0,30,,Lorne Ortiz,2023-01-07 22:56:00
2023-01-08 01:39:00,A2,-,38.0,25,,Lorne Ortiz,2023-01-08 01:39:00
2023-01-08 01:55:00,A2,-,42.0,35,,Lorne Ortiz,2023-01-08 01:55:00
2023-01-08 02:25:00,A2,-,40.0,34,,Lorne Ortiz,2023-01-08 02:25:00
2023-01-08 05:09:00,A2,-,39.0,33,,Lorne Ortiz,2023-01-08 05:09:00
2023-01-08 05:12:00,A1,-,41.0,30,,Lorne Ortiz,2023-01-08 05:12:00
2023-01-08 05:49:00,A0,-,47.0,36,,Lorne Ortiz,2023-01-08 05:49:00
2023-01-08 07:59:00,A0,-,39.0,29,,José Ledesma Espinoza,2023-01-08 07:59:00
2023-01-08 08:20:00,A1,-,39.0,30,,José Ledesma Espinoza,2023-01-08 08:20:00
2023-01-08 09:26:00,A0,-,43.0,34,,José Ledesma Espinoza,2023-01-08 09:26:00
2023-01-08 10:09:00,A1,-,40.0,28,,José Ledesma Espinoza,2023-01-08 10:09:00
2023-01-08 10:43:00,A2,-,35.0,27,,José Ledesma Espinoza,2023-01-08 10:43:00
2023-01-08 10:52:00,A0,-,41.0,33,,José Ledesma Espinoza,2023-01-08 10:52:00
2023-01-08 11:32:00,A1,-,46.0,38,,José Ledesma Espinoza,2023-01-08 11:32:00
2023-01-08 12:09:00,A2,-,39.0,29,,José Ledesma Espinoza,2023-01-08 12:09:00
2023-01-08 12:26:00,A1,-,41.0,30,,José Ledesma Espinoza,2023-01-08 12:26:00
2023-01-08 12:54:00,A0,-,42.0,31,,José Ledesma Espinoza,2023-01-08 12:54:00
2023-01-08 13:46:00,A2,-,40.0,31,,José Ledesma Espinoza,2023-01-08 13:46:00
2023-01-08 14:46:00,A1,-,41.0,34,,José Ledesma Espinoza,2023-01-08 14:46:00
2023-01-08 14:47:00,A0,-,38.0,30,,José Ledesma Espinoza,2023-01-08 14:47:00
2023-01-08 14:52:00,A2,-,44.0,33,,José Ledesma Espinoza,2023-01-08 14:52:00
2023-01-08 17:29:00,A1,-,43.0,34,,José Ledesma Espinoza,2023-01-08 17:29:00
2023-01-08 17:38:00,A0,-,42.0,32,,José Ledesma Espinoza,2023-01-08 17:38:00
2023-01-08 17:49:00,A2,-,41.0,29,,José Ledesma Espinoza,2023-01-08 17:49:00
2023-01-08 20:37:00,A1,-,39.0,31,,Lorne Ortiz,2023-01-08 20:37:00
2023-01-08 20:38:00,A2,-,45.0,36,,Lorne Ortiz,2023-01-08 20:38:00
2023-01-08 20:58:00,A0,-,39.0,30,,Lorne Ortiz,2023-01-08 20:58:00
2023-01-08 23:08:00,A1,-,41.0,32,,Lorne Ortiz,2023-01-08 23:08:00
2023-01-08 23:35:00,A2,-,43.0,35,,Lorne Ortiz,2023-01-08 23:35:00
2023-01-08 23:37:00,A0,-,43.0,35,,Lorne Ortiz,2023-01-08 23:37:00
2023-01-09 00:13:00,A2,-,41.0,35,,Lorne Ortiz,2023-01-09 00:13:00
